"Path","Kind","Name","Line"
"core\media_pipeline.py","def","_batch_generate_portraits","211"
"core\media_pipeline.py","def","queue_batch_portraits","228"
"core\memory_engine.py","class","MemoryEngine","38"
"core\model_manager.py","class","ModelManager","18"
"core\planning.py","class","PlanningEngine","13"
"core\planning.py","class","WorkflowEngine","30"
"core\planning.py","class","SuggestionEngine","70"
"core\plugin_manager.py","class","PluginManager","16"
"core\plugin_manager.py","def","ensure_loaded","72"
"core\quest_system.py","def","generate_quest","13"
"core\quest_system.py","def","_extract_json_object","26"
"core\quest_system.py","def","generate_dynamic_quest","37"
"core\quest_system.py","def","complete_quest","91"
"core\quest_system.py","def","update_progress","111"
"core\quest_system.py","def","get_active_quests","117"
"core\quest_system.py","def","get_all_quests","123"
"core\quest_system.py","def","abandon_quest","127"
"core\quest_system.py","def","get_quest_history","130"
"core\relationship_engine.py","def","_bond_from_trust","36"
"core\relationship_engine.py","def","_mood_from_trust","44"
"core\relationship_engine.py","def","trust_from_tags","52"
"core\relationship_engine.py","def","get_relationship","66"
"core\relationship_engine.py","def","ensure_relationship","73"
"core\relationship_engine.py","def","apply_time_decay","90"
"core\relationship_engine.py","def","record_interaction","126"
"core\relationship_engine.py","def","get_event_history","166"
"core\relationship_engine.py","def","list_all_relationships","174"
"core\relationship_engine.py","def","get_relationship_prompt","180"
"core\safe_ui.py","def","safe_multiselect","6"
"core\safe_ui.py","def","safe_selectbox","19"
"core\safe_ui.py","def","safe_slider","31"
"core\safety.py","class","SafetyMonitor","20"
"core\security.py","def","_hash_pw","17"
"core\security.py","def","_check_pw","23"
"core\security.py","def","register_user","32"
"core\security.py","def","verify_user","51"
"core\security.py","def","reset_password","61"
"core\security.py","def","user_exists","78"
"core\security.py","def","list_users","85"
"core\security.py","def","delete_user","92"
"core\simulation_engine.py","def","get_npc_current_goal","20"
"core\simulation_engine.py","def","update_npc_schedule_from_goals","33"
"core\simulation_engine.py","def","adjust_npc_goals","53"
"core\simulation_engine.py","def","add_npc_memory","77"
"core\simulation_engine.py","def","get_npc_memories","90"
"core\simulation_engine.py","def","build_npc_prompt_context","97"
"core\simulation_engine.py","def","resolve_faction_war","113"
"core\simulation_engine.py","def","check_war_triggers","159"
"core\simulation_engine.py","def","init_market","181"
"core\simulation_engine.py","def","tick_economy","190"
"core\simulation_engine.py","def","get_market","226"
"core\simulation_engine.py","def","get_weather_effects","247"
"core\simulation_engine.py","def","log_weather","250"
"core\simulation_engine.py","def","create_quest_chain","264"
"core\simulation_engine.py","def","get_available_quests","282"
"core\simulation_engine.py","def","complete_chain_quest","303"
"core\simulation_engine.py","def","get_director_state","317"
"core\simulation_engine.py","def","update_director","325"
"core\simulation_engine.py","def","generate_scaled_encounter","351"
"core\simulation_engine.py","def","run_world_simulation_tick","378"
"core\storage.py","def","get_conn","19"
"core\storage.py","def","now_iso","28"
"core\storage.py","def","save_json","30"
"core\storage.py","def","load_json","34"
"core\storage.py","def","get_bool_setting","44"
"core\storage.py","def","set_bool_setting","57"
"core\storage.py","def","get_setting","68"
"core\storage.py","def","set_setting","81"
"core\storage.py","def","_create_tables","188"
"core\storage.py","def","_is_duplicate_column_error","200"
"core\storage.py","def","_run_migrations","204"
"core\storage.py","def","_record_schema_version","218"
"core\storage.py","def","get_schema_version","231"
"core\storage.py","def","init_db","248"
"core\storage.py","def","delete_character","280"
"core\storage.py","def","delete_world","304"
"core\voice_system.py","class","VoiceSystem","15"
"core\web_search.py","def","_local_only_blocked","28"
"core\web_search.py","def","_error_detail","39"
"core\web_search.py","def","search_web","52"
"core\world_engine.py","def","_rn","30"
"core\world_engine.py","def","create_world","33"
"core\world_engine.py","def","get_world","61"
"core\world_engine.py","def","list_worlds","72"
"core\world_engine.py","def","get_locations","77"
"core\world_engine.py","def","advance_world_tick","82"
"core\world_engine.py","def","generate_npc","131"
"core\world_engine.py","def","list_npcs","150"
"core\world_engine.py","def","get_npc_schedule","156"
"core\world_engine.py","def","create_faction","161"
